SNID,norm_MJD,1stDet,MJD,BAND_r,BAND_i,BAND_g
b'1013200',59338,59328.24,59338.27,16.962783813476562,17.184085845947266,17.438087463378906
b'1013200',59343,59328.24,59343.24025,16.66123390197754,16.869279861450195,17.008853912353516
b'1013200',59345,59328.24,59345.2365,16.523508071899414,16.777324676513672,16.866361618041992
b'1014699',59322,59295.24,59322.4,20.539535522460938,20.186704635620117,21.302335739135742
b'1015552',59291,59290.324,59291.41,20.35142707824707,20.283302307128906,19.879764556884766
b'1018457',59313,59290.227,59313.3362,16.494403839111328,16.421451568603516,16.79129409790039
b'1018457',59315,59290.23,59315.236666666664,16.507728576660156,16.41744613647461,16.906705856323242
b'1018457',59316,59290.227,59316.41,16.474336624145508,16.41269874572754,16.897537231445312
b'1018457',59317,59290.227,59317.230200000005,16.53303337097168,16.35403060913086,16.895198822021484
b'1018457',59318,59290.227,59318.2475,16.53382110595703,16.43514633178711,16.958797454833984
b'1018457',59319,59290.227,59319.2475,16.534408569335938,16.441444396972656,16.987812042236328
b'1019760',59338,59339.223,59338.27,21.245935440063477,20.949928283691406,21.24908447265625
b'1019760',59342,59339.223,59342.26,20.540246963500977,20.735538482666016,20.29088592529297
b'1019760',59343,59339.227,59343.2418,20.332101821899414,20.65587043762207,20.22376251220703
b'1019760',59344,59339.223,59344.27,20.299701690673828,20.438432693481445,20.08057403564453
b'1019760',59345,59339.227,59345.2304,19.99762535095215,20.1954288482666,20.09965705871582
b'1019760',59346,59339.223,59346.28,20.262779235839844,20.80398941040039,19.937328338623047
b'1019760',59347,59339.223,59347.26,20.330333709716797,20.754093170166016,20.508460998535156
b'1019760',59348,59339.227,59348.2794,20.46063995361328,20.50360870361328,20.351890563964844
b'1019760',59354,59339.223,59354.3245,20.934581756591797,21.385929107666016,20.98011016845703
b'1019760',59357,59339.223,59357.31,21.233369827270508,20.87736701965332,20.63621711730957
b'1021026',59370,59370.28,59370.28,18.864177703857422,19.042015075683594,18.46438217163086
b'1021026',59372,59370.28,59372.265,17.334228515625,17.61179542541504,17.09575653076172
b'1021026',59373,59370.28,59373.2675,16.874679565429688,17.120704650878906,16.67212677001953
b'1021026',59374,59370.28,59374.2675,16.487829208374023,16.73721694946289,16.318357467651367
b'1021026',59377,59370.28,59377.27,15.851483345031738,16.115264892578125,15.799201965332031
b'1021026',59389,59370.28,59389.27,15.647085189819336,15.679561614990234,16.304393768310547
b'1021026',59394,59370.28,59394.28,15.807782173156738,15.834149360656738,16.59819793701172
b'1021026',59400,59370.28,59400.27,16.06354522705078,16.01848602294922,16.91820526123047
b'1021974',59335,59335.41,59335.41,21.030200958251953,20.334138870239258,20.497684478759766
b'1021974',59337,59335.41,59337.27,19.44308853149414,19.47123146057129,19.295976638793945
b'1021974',59338,59335.41,59338.27,19.13442611694336,19.054378509521484,19.042930603027344
b'1021974',59342,59335.41,59342.26,18.478761672973633,18.453960418701172,18.65805435180664
b'1021974',59343,59335.41,59343.243166666674,18.41963768005371,18.308475494384766,18.60747528076172
b'1021974',59344,59335.41,59344.27,18.372440338134766,18.309226989746094,18.61578941345215
b'1021974',59345,59335.41,59345.23366666667,18.411985397338867,18.330078125,18.607444763183594
b'1021974',59346,59335.41,59346.28,18.409629821777344,18.323427200317383,18.643692016601562
b'1021974',59347,59335.41,59347.26,18.430309295654297,18.321273803710938,18.7015380859375
